Date,Rate
28-Oct-11,49.82
29-Oct-11,48.63
30-Oct-11,48.63
31-Oct-11,48.63
01-Nov-11,48.68
02-Nov-11,49.26
03-Nov-11,49.11
04-Nov-11,49.04
05-Nov-11,49
06-Nov-11,49.00
07-Nov-11,49.00
08-Nov-11,48.95
09-Nov-11,49.33
10-Nov-11,50.13
11-Nov-11,49.99
12-Nov-11,50.04
13-Nov-11,49.81
14-Nov-11,50.04
15-Nov-11,50.35
16-Nov-11,50.60
17-Nov-11,50.67
18-Nov-11,50.95
19-Nov-11,51.23
20-Nov-11,51.23
21-Nov-11,51.23
22-Nov-11,52.06
23-Nov-11,52.49
24-Nov-11,52.26
25-Nov-11,52.07
26-Nov-11,52.23
27-Nov-11,52.23
28-Nov-11,52.23
29-Nov-11,52.04
30-Nov-11,51.91
01-Dec-11,51.75
02-Dec-11,51.27
03-Dec-11,51.16
05-Dec-11,51.11
06-Dec-11,51.35
08-Dec-11,51.63
09-Dec-11,51.72
10-Dec-11,51.89
11-Dec-11,51.87
12-Dec-11,51.87
13-Dec-11,52.73
14-Dec-11,53.10
16-Dec-11,53.56
17-Dec-11,52.50
18-Dec-11,52.53
19-Dec-11,52.50
20-Dec-11,52.70
21-Dec-11,52.7
22-Dec-11,52.40
23-Dec-11,52.53
24-Dec-11,52.79
25-Dec-11,52.79
26-Dec-11,52.79
28-Dec-11,52.94
29-Dec-11,52.89
30-Dec-11,53.00
31-Dec-11,52.9
01-Jan-12,53.01
02-Jan-12,53.01
03-Jan-12,53.30
04-Jan-12,53.09
05-Jan-12,52.89
06-Jan-12,52.89
07-Jan-12,52.64
08-Jan-12,52.68
09-Jan-12,52.68
10-Jan-12,52.40
11-Jan-12,51.60
12-Jan-12,51.82
13-Jan-12,51.49
14-Jan-12,51.44
15-Jan-12,51.44
16-Jan-12,51.44
18-Jan-12,50.70
19-Jan-12,50.41
20-Jan-12,50.31
21-Jan-12,50.24
22-Jan-12,50.23
23-Jan-12,50.23
24-Jan-12,49.92
25-Jan-12,50.03
26-Jan-12,50.03
27-Jan-12,49.43
28-Jan-12,49.23
29-Jan-12,49.39
30-Jan-12,49.39
31-Jan-12,49.63
01-Feb-12,49.53
02-Feb-12,49.10
03-Feb-12,49.04
04-Feb-12,48.58
05-Feb-12,48.66
06-Feb-12,48.66
07-Feb-12,49.06
08-Feb-12,49.23
09-Feb-12,49.23
10-Feb-12,49.27
11-Feb-12,49.44
12-Feb-12,49.36
13-Feb-12,49.36
15-Feb-12,49.40
16-Feb-12,49.37
18-Feb-12,49.35
19-Feb-12,49.32
20-Feb-12,49.32
21-Feb-12,49.15
23-Feb-12,49.13
24-Feb-12,49.13
25-Feb-12,48.99
26-Feb-12,49.01
27-Feb-12,49.01
28-Feb-12,49.13
29-Feb-12,49.02
01-Mar-12,49.00
02-Mar-12,49.14
03-Mar-12,49.56
04-Mar-12,49.52
05-Mar-12,49.52
06-Mar-12,49.74
07-Mar-12,50.34
08-Mar-12,50.28
09-Mar-12,49.93
10-Mar-12,49.69
11-Mar-12,49.76
12-Mar-12,49.76
13-Mar-12,49.94
14-Mar-12,49.85
15-Mar-12,49.95
16-Mar-12,50.21
17-Mar-12,50.06
18-Mar-12,50.14
19-Mar-12,50.14
20-Mar-12,50.1
21-Mar-12,50.33
22-Mar-12,50.61
23-Mar-12,51.16
24-Mar-12,51.14
25-Mar-12,51.17
26-Mar-12,51.17
27-Mar-12,50.94
29-Mar-12,50.77
30-Mar-12,51.39
31-Mar-12,50.84
01-Apr-12,50.87
02-Apr-12,50.87
03-Apr-12,50.71
04-Apr-12,50.55
05-Apr-12,51.05
08-Apr-12,51.04
09-Apr-12,51.04
12-Apr-12,51.44
13-Apr-12,51.22
14-Apr-12,51.54
15-Apr-12,51.55
16-Apr-12,51.55
18-Apr-12,51.39
19-Apr-12,51.83
20-Apr-12,52.08
26-Apr-12,52.5
27-Apr-12,52.5
28-Apr-12,52.44
29-Apr-12,52.54
30-Apr-12,52.54
04-May-12,53.4
05-May-12,53.38
06-May-12,53.47
07-May-12,53.47
08-May-12,52.89
09-May-12,53.12
11-May-12,53.25
13-May-12,53.63
14-May-12,53.63
16-May-12,53.96
18-May-12,54.38
19-May-12,54.41
20-May-12,54.42
21-May-12,54.42
22-May-12,55
23-May-12,55.3
25-May-12,55.6
26-May-12,55.36
27-May-12,55.37
28-May-12,55.37
30-May-12,55.62
31-May-12,56.2
01-Jun-12,56.1
02-Jun-12,55.43
03-Jun-12,55.54
04-Jun-12,55.54
05-Jun-12,55.65
08-Jun-12,54.89
09-Jun-12,55.38
10-Jun-12,55.42
11-Jun-12,55.42
12-Jun-12,55.65
14-Jun-12,55.57
16-Jun-12,55.41
17-Jun-12,55.39
18-Jun-12,55.39
19-Jun-12,55.86
20-Jun-12,55.84
21-Jun-12,56.15
22-Jun-12,56.3
23-Jun-12,57.07
24-Jun-12,57.12
25-Jun-12,57.12
26-Jun-12,56.96
27-Jun-12,56.9
28-Jun-12,56.89
29-Jun-12,56.82
30-Jun-12,55.51
01-Jul-12,55.51
02-Jul-12,55.51
03-Jul-12,55.4
04-Jul-12,54.22
05-Jul-12,54.48
06-Jul-12,54.96
07-Jul-12,55.48
08-Jul-12,55.41
09-Jul-12,55.41
10-Jul-12,55.85
11-Jul-12,55.39
12-Jul-12,55.53
13-Jul-12,55.84
14-Jul-12,54.91
15-Jul-12,55.14
16-Jul-12,55.14
17-Jul-12,55.05
18-Jul-12,55.25
19-Jul-12,55.25
20-Jul-12,55.17
21-Jul-12,55.28
22-Jul-12,55.32
23-Jul-12,55.32
24-Jul-12,55.93
25-Jul-12,56.23
26-Jul-12,56.02
27-Jul-12,55.60
28-Jul-12,55.27
29-Jul-12,55.25
30-Jul-12,55.25
31-Jul-12,55.46
01-Aug-12,55.56
02-Aug-12,55.5
03-Aug-12,55.84
04-Aug-12,55.75
05-Aug-12,55.75
06-Aug-12,55.75
07-Aug-12,55.52
08-Aug-12,55.07
09-Aug-12,55.1
10-Aug-12,55.18
11-Aug-12,55.2
12-Aug-12,55.28
13-Aug-12,55.28
14-Aug-12,55.34
15-Aug-12,55.61
16-Aug-12,55.53
17-Aug-12,55.62
18-Aug-12,55.63
19-Aug-12,55.73
20-Aug-12,55.73
21-Aug-12,55.50
22-Aug-12,55.46
23-Aug-12,55.50
24-Aug-12,55.26
25-Aug-12,55.41
26-Aug-12,55.50
27-Aug-12,55.50
28-Aug-12,55.69
29-Aug-12,55.66
30-Aug-12,55.70
31-Aug-12,55.63
01-Sep-12,55.52
02-Sep-12,55.52
03-Sep-12,55.52
04-Sep-12,55.53
05-Sep-12,55.61
06-Sep-12,55.91
07-Sep-12,55.66
08-Sep-12,55.27
09-Sep-12,55.36
10-Sep-12,55.36
11-Sep-12,55.44
12-Sep-12,55.25
13-Sep-12,55.21
14-Sep-12,55.34
15-Sep-12,54.30
16-Sep-12,54.30
17-Sep-12,54.30
18-Sep-12,53.88
19-Sep-12,53.90
20-Sep-12,54.02
21-Sep-12,54.26
22-Sep-12,53.36
23-Sep-12,53.36
24-Sep-12,53.36
25-Sep-12,53.44
26-Sep-12,53.36
27-Sep-12,53.55
28-Sep-12,52.94
29-Sep-12,52.85
30-Sep-12,52.85
01-Oct-12,52.85
02-Oct-12,52.31
03-Oct-12,52.41
04-Oct-12,52.26
05-Oct-12,51.74
06-Oct-12,51.90
07-Oct-12,51.91
08-Oct-12,51.91
09-Oct-12,52.54
10-Oct-12,52.74
11-Oct-12,53.00
12-Oct-12,52.66
13-Oct-12,52.93
14-Oct-12,52.81
15-Oct-12,52.81
16-Oct-12,53.03
17-Oct-12,52.86
18-Oct-12,52.86
19-Oct-12,53.51
20-Oct-12,53.84
21-Oct-12,53.84
22-Oct-12,53.84
23-Oct-12,53.55
24-Oct-12,53.72
25-Oct-12,53.75
26-Oct-12,53.55
27-Oct-12,53.6
28-Oct-12,53.55
29-Oct-12,53.55
30-Oct-12,54.08
31-Oct-12,53.96
01-Nov-12,53.80
02-Nov-12,53.77
03-Nov-12,53.81
04-Nov-12,53.81
05-Nov-12,53.81
06-Nov-12,54.60
07-Nov-12,54.42
08-Nov-12,54.42
09-Nov-12,54.32
10-Nov-12,54.63
11-Nov-12,54.59
12-Nov-12,54.59
13-Nov-12,55.01
14-Nov-12,54.82
15-Nov-12,54.88
16-Nov-12,54.81
17-Nov-12,55.16
18-Nov-12,55.16
